ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Gender,Highest level of education completed,Percentage distribution of persons,Number of estimated persons ,Number of sample persons,Number of estimated persons excluding,Number of estimated persons including,Number of sample persons excluding,Number of sample persons including
17358,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Persons,Not Literate,21.8,301240,9021,,,,
17359,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Persons,Post Graduate & Above,2.3,301240,9021,,,,
17360,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Persons,Secondary,12.7,301240,9021,,,,
17361,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Persons,Secondary & Above,38.7,301240,9021,,,,
17362,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Diploma/Certificate Course,1.6,279664,9478,,,,
17363,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Graduate,11.6,279664,9478,,,,
17364,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Higher Secondary,13,279664,9478,,,,
17365,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Literate & Upto Primary,16.8,279664,9478,,,,
17366,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Middle,18.6,279664,9478,,,,
17367,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Not Literate,22.1,279664,9478,,,,
17368,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Post Graduate & Above,4.1,279664,9478,,,,
17369,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Secondary,12.2,279664,9478,,,,
17370,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Female,Secondary & Above,42.5,279664,9478,,,,
17371,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Diploma/Certificate Course,5.8,265424,9153,,,,
17372,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Graduate,13,265424,9153,,,,
17373,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Higher Secondary,11.7,265424,9153,,,,
17374,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Literate & Upto Primary,17.4,265424,9153,,,,
17375,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Middle,21.1,265424,9153,,,,
17376,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Not Literate,11.6,265424,9153,,,,
17377,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Post Graduate & Above,4.5,265424,9153,,,,
17378,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Secondary,14.9,265424,9153,,,,
17379,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Male,Secondary & Above,49.9,265424,9153,,,,
17380,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Diploma/Certificate Course,3.6,545087,18631,,,,
17381,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Graduate,12.2,545087,18631,,,,
17382,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Higher Secondary,12.4,545087,18631,,,,
17383,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Literate & Upto Primary,17.1,545087,18631,,,,
17384,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Middle,19.8,545087,18631,,,,
17385,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Not Literate,17,545087,18631,,,,
17386,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Post Graduate & Above,4.3,545087,18631,,,,
17387,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Secondary,13.5,545087,18631,,,,
17388,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Rural+Urban,Persons,Secondary & Above,46.1,545087,18631,,,,
17389,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Diploma/Certificate Course,1.7,122729,4838,,,,
17390,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Graduate,15.5,122729,4838,,,,
17391,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Higher Secondary,13.7,122729,4838,,,,
17392,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Literate & Upto Primary,15.6,122729,4838,,,,
17393,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Middle,18.2,122729,4838,,,,
17394,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Not Literate,15.2,122729,4838,,,,
17395,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Post Graduate & Above,6.9,122729,4838,,,,
17396,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Secondary,13.3,122729,4838,,,,
17397,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Female,Secondary & Above,51.1,122729,4838,,,,
17398,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Diploma/Certificate Course,6.7,121118,4772,,,,
17399,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Graduate,17.7,121118,4772,,,,
17400,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Higher Secondary,12.3,121118,4772,,,,
17401,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Literate & Upto Primary,13.8,121118,4772,,,,
17402,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Middle,20.1,121118,4772,,,,
17403,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Not Literate,6.8,121118,4772,,,,
17404,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Post Graduate & Above,6.7,121118,4772,,,,
17405,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Secondary,15.9,121118,4772,,,,
17406,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Male,Secondary & Above,59.3,121118,4772,,,,
17407,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Diploma/Certificate Course,4.2,243847,9610,,,,
17408,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Graduate,16.6,243847,9610,,,,
17409,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Higher Secondary,13,243847,9610,,,,
17410,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Literate & Upto Primary,14.7,243847,9610,,,,
17411,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Middle,19.1,243847,9610,,,,
17412,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Not Literate,11,243847,9610,,,,
17413,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Post Graduate & Above,6.8,243847,9610,,,,
17414,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Secondary,14.6,243847,9610,,,,
17415,India,33,Tamil Nadu,2021,"Agriculture Year (Jul - Jun), 2021",Urban,Persons,Secondary & Above,55.2,243847,9610,,,,
17416,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Diploma/Certificate Course,1.6,,4544,,,,
17417,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Graduate,8.2,,4544,,,,
17418,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Higher Secondary,12.1,,4544,,,,
17419,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Literate & Upto Primary,20.1,,4544,,,,
17420,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Middle,17.6,,4544,,,,
17421,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Not Literate,25.1,,4544,,,,
17422,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Post Graduate & Above,3.2,,4544,,,,
17423,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Secondary,12,,4544,,,,
17424,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Female,Secondary & Above,37.2,,4544,,,,
17425,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Diploma/Certificate Course,5.5,,4367,,,,
17426,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Graduate,8,,4367,,,,
17427,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Higher Secondary,13.2,,4367,,,,
17428,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Literate & Upto Primary,20.9,,4367,,,,
17429,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Middle,21.8,,4367,,,,
17430,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Not Literate,14.8,,4367,,,,
17431,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Post Graduate & Above,2.2,,4367,,,,
17432,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Secondary,13.6,,4367,,,,
17433,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Male,Secondary & Above,42.5,,4367,,,,
17434,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Diploma/Certificate Course,3.5,,8911,,,,
17435,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Graduate,8.1,,8911,,,,
17436,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Higher Secondary,12.7,,8911,,,,
17437,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Literate & Upto Primary,20.5,,8911,,,,
17438,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Middle,19.6,,8911,,,,
17439,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Not Literate,20.1,,8911,,,,
17440,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Post Graduate & Above,2.7,,8911,,,,
17441,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Secondary,12.8,,8911,,,,
17442,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural,Persons,Secondary & Above,39.8,,8911,,,,
17443,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Diploma/Certificate Course,1.7,,9470,,,,
17444,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Graduate,11.7,,9470,,,,
17445,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Higher Secondary,13,,9470,,,,
17446,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Literate & Upto Primary,19.2,,9470,,,,
17447,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Middle,17.2,,9470,,,,
17448,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Not Literate,20.7,,9470,,,,
17449,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Post Graduate & Above,4.6,,9470,,,,
17450,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Secondary,11.9,,9470,,,,
17451,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Female,Secondary & Above,42.9,,9470,,,,
17452,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Diploma/Certificate Course,5.8,,9193,,,,
17453,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Graduate,13,,9193,,,,
17454,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Higher Secondary,12.9,,9193,,,,
17455,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Literate & Upto Primary,18.3,,9193,,,,
17456,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Middle,20.4,,9193,,,,
17457,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Not Literate,11.2,,9193,,,,
17458,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Post Graduate & Above,3.8,,9193,,,,
17459,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Secondary,14.5,,9193,,,,
17460,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Male,Secondary & Above,50.1,,9193,,,,
17461,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Diploma/Certificate Course,3.7,,18663,,,,
17462,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Graduate,12.4,,18663,,,,
17463,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Higher Secondary,13,,18663,,,,
17464,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Literate & Upto Primary,18.7,,18663,,,,
17465,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Middle,18.7,,18663,,,,
17466,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Not Literate,16.1,,18663,,,,
17467,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Post Graduate & Above,4.2,,18663,,,,
17468,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Secondary,13.2,,18663,,,,
17469,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Rural+Urban,Persons,Secondary & Above,46.5,,18663,,,,
17470,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Diploma/Certificate Course,1.8,,4926,,,,
17471,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Graduate,16.3,,4926,,,,
17472,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Higher Secondary,14.1,,4926,,,,
17473,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Literate & Upto Primary,18,,4926,,,,
17474,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Middle,16.6,,4926,,,,
17475,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Not Literate,14.9,,4926,,,,
17476,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Post Graduate & Above,6.5,,4926,,,,
17477,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Secondary,11.8,,4926,,,,
17478,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Female,Secondary & Above,50.5,,4926,,,,
17479,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Diploma/Certificate Course,6.3,,4826,,,,
17480,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Graduate,19.4,,4826,,,,
17481,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Higher Secondary,12.6,,4826,,,,
17482,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Literate & Upto Primary,14.8,,4826,,,,
17483,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Middle,18.6,,4826,,,,
17484,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Not Literate,6.7,,4826,,,,
17485,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Post Graduate & Above,5.8,,4826,,,,
17486,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Secondary,15.7,,4826,,,,
17487,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Male,Secondary & Above,59.8,,4826,,,,
17488,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Diploma/Certificate Course,4,,9752,,,,
17489,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Graduate,17.8,,9752,,,,
17490,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Higher Secondary,13.4,,9752,,,,
17491,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Literate & Upto Primary,16.4,,9752,,,,
17492,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Middle,17.6,,9752,,,,
17493,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Not Literate,10.8,,9752,,,,
17494,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Post Graduate & Above,6.2,,9752,,,,
17495,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Secondary,13.7,,9752,,,,
17496,India,33,Tamil Nadu,2022,"Agriculture Year (Jul - Jun), 2022",Urban,Persons,Secondary & Above,55.1,,9752,,,,
17497,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Diploma/Certificate Course,1.6,,4492,,,,
17498,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Graduate,8.8,,4492,,,,
17499,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Higher Secondary,12,,4492,,,,
17500,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Literate & Upto Primary,18.8,,4492,,,,
17501,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Middle,16.7,,4492,,,,
17502,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Not Literate,27.2,,4492,,,,
17503,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Post Graduate & Above,2.9,,4492,,,,
17504,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Secondary,12,,4492,,,,
17505,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Secondary & Above,37.3,,4492,,,,
17506,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Diploma/Certificate Course,6.8,,4117,,,,
17507,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Graduate,9.5,,4117,,,,
17508,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Higher Secondary,11.8,,4117,,,,
17509,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Literate & Upto Primary,17.4,,4117,,,,
17510,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Middle,21.2,,4117,,,,
17511,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Not Literate,15.4,,4117,,,,
17512,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Post Graduate & Above,2.2,,4117,,,,
17513,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Secondary,15.6,,4117,,,,
17514,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Secondary & Above,46,,4117,,,,
17515,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Diploma/Certificate Course,4.1,,8609,,,,
17516,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Graduate,9.2,,8609,,,,
17517,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Higher Secondary,11.9,,8609,,,,
17518,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Literate & Upto Primary,18.1,,8609,,,,
17519,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Middle,18.9,,8609,,,,
17520,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Not Literate,21.5,,8609,,,,
17521,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Post Graduate & Above,2.6,,8609,,,,
17522,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Secondary,13.8,,8609,,,,
17523,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Secondary & Above,41.5,,8609,,,,
17524,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Diploma/Certificate Course,2,,9432,,,,
17525,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Graduate,12.8,,9432,,,,
17526,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Higher Secondary,12.6,,9432,,,,
17527,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Literate & Upto Primary,17.8,,9432,,,,
17528,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Middle,16.7,,9432,,,,
17529,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Not Literate,21.2,,9432,,,,
17530,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Post Graduate & Above,4.8,,9432,,,,
17531,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Secondary,12.2,,9432,,,,
17532,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Female,Secondary & Above,44.3,,9432,,,,
17533,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Diploma/Certificate Course,7.1,,8721,,,,
17534,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Graduate,14.1,,8721,,,,
17535,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Higher Secondary,11.7,,8721,,,,
17536,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Literate & Upto Primary,15.7,,8721,,,,
17537,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Middle,20.1,,8721,,,,
17538,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Not Literate,11.5,,8721,,,,
17539,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Post Graduate & Above,4.1,,8721,,,,
17540,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Secondary,15.6,,8721,,,,
17541,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Male,Secondary & Above,52.7,,8721,,,,
17542,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Diploma/Certificate Course,4.5,,18153,,,,
17543,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Graduate,13.4,,18153,,,,
17544,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Higher Secondary,12.2,,18153,,,,
17545,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Literate & Upto Primary,16.8,,18153,,,,
17546,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Middle,18.3,,18153,,,,
17547,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Not Literate,16.5,,18153,,,,
17548,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Post Graduate & Above,4.5,,18153,,,,
17549,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Secondary,13.8,,18153,,,,
17550,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Rural+Urban,Persons,Secondary & Above,48.3,,18153,,,,
17551,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Diploma/Certificate Course,2.5,,4940,,,,
17552,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Graduate,17.5,,4940,,,,
17553,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Higher Secondary,13.3,,4940,,,,
17554,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Literate & Upto Primary,16.5,,4940,,,,
17555,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Middle,16.8,,4940,,,,
17556,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Not Literate,14,,4940,,,,
17557,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Post Graduate & Above,7,,4940,,,,
17558,India,33,Tamil Nadu,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Secondary,12.4,,4940,,,,
